Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.61,0.31,0.3450800538652108
75% Corpus,7,0.61,0.61,0.31684961148409363
75% Corpus,7,0.61,0.9099999999999999,0.30601419805271257
75% Corpus,7,0.61,symmetric,0.3917785018888856
75% Corpus,7,0.9099999999999999,0.01,0.46339142974307784
75% Corpus,7,0.9099999999999999,0.31,0.35662698910048085
75% Corpus,7,0.9099999999999999,0.61,0.4435664320635765
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.4802688061256192
75% Corpus,7,0.9099999999999999,symmetric,0.40099639691645406
75% Corpus,7,symmetric,0.01,0.35411837890794384
75% Corpus,7,symmetric,0.31,0.3494309508292443
75% Corpus,7,symmetric,0.61,0.3370788378121565
75% Corpus,7,symmetric,0.9099999999999999,0.35543653062808217
75% Corpus,7,symmetric,symmetric,0.3543950172335259
75% Corpus,7,asymmetric,0.01,0.3676875771036966
75% Corpus,7,asymmetric,0.31,0.42669146667968805
75% Corpus,7,asymmetric,0.61,0.41567127049680697
75% Corpus,7,asymmetric,0.9099999999999999,0.42906627216643756
75% Corpus,7,asymmetric,symmetric,0.38305354819574805
75% Corpus,8,0.01,0.01,0.33853415432982054
75% Corpus,8,0.01,0.31,0.3274007511221009
75% Corpus,8,0.01,0.61,0.3609413487468638
75% Corpus,8,0.01,0.9099999999999999,0.3685643428097213
75% Corpus,8,0.01,symmetric,0.33779379036932183
75% Corpus,8,0.31,0.01,0.393083557755452
75% Corpus,8,0.31,0.31,0.33074824967347305
75% Corpus,8,0.31,0.61,0.32734283912261625
75% Corpus,8,0.31,0.9099999999999999,0.30868713553073
75% Corpus,8,0.31,symmetric,0.3551242733869102
75% Corpus,8,0.61,0.01,0.39086324440508285
75% Corpus,8,0.61,0.31,0.3283546156341737
75% Corpus,8,0.61,0.61,0.3055008674649774
75% Corpus,8,0.61,0.9099999999999999,0.3963854680180512
75% Corpus,8,0.61,symmetric,0.3512618666173619
75% Corpus,8,0.9099999999999999,0.01,0.4690259959606916
75% Corpus,8,0.9099999999999999,0.31,0.3520524041037746
75% Corpus,8,0.9099999999999999,0.61,0.49177239978376563
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.4387615112065487
75% Corpus,8,0.9099999999999999,symmetric,0.40184678715480454
75% Corpus,8,symmetric,0.01,0.33910716396537893
75% Corpus,8,symmetric,0.31,0.3322528984054076
75% Corpus,8,symmetric,0.61,0.31672439445899714
75% Corpus,8,symmetric,0.9099999999999999,0.32564219695918056
75% Corpus,8,symmetric,symmetric,0.32885758741666493
75% Corpus,8,asymmetric,0.01,0.4029041999504034
75% Corpus,8,asymmetric,0.31,0.36489617420634657
75% Corpus,8,asymmetric,0.61,0.42904394123856016
75% Corpus,8,asymmetric,0.9099999999999999,0.4122099895769793
75% Corpus,8,asymmetric,symmetric,0.39113203341577185
75% Corpus,9,0.01,0.01,0.38542269622397785
75% Corpus,9,0.01,0.31,0.3471330997007628
75% Corpus,9,0.01,0.61,0.3676032389481943
75% Corpus,9,0.01,0.9099999999999999,0.32100537163227844
75% Corpus,9,0.01,symmetric,0.372549128249474
75% Corpus,9,0.31,0.01,0.3933204375709986
75% Corpus,9,0.31,0.31,0.38366591773628084
75% Corpus,9,0.31,0.61,0.3447470331304178
75% Corpus,9,0.31,0.9099999999999999,0.2966493988797916
75% Corpus,9,0.31,symmetric,0.3713206868220472
75% Corpus,9,0.61,0.01,0.38905370779484555
75% Corpus,9,0.61,0.31,0.3426280923523689
75% Corpus,9,0.61,0.61,0.36095323046226224
75% Corpus,9,0.61,0.9099999999999999,0.39962679298489673
75% Corpus,9,0.61,symmetric,0.3695660822029518
75% Corpus,9,0.9099999999999999,0.01,0.4583151109495733
75% Corpus,9,0.9099999999999999,0.31,0.33691053253729286
75% Corpus,9,0.9099999999999999,0.61,0.46951659714232247
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.42984866648297154
75% Corpus,9,0.9099999999999999,symmetric,0.4102648621909068
75% Corpus,9,symmetric,0.01,0.38148087668530073
75% Corpus,9,symmetric,0.31,0.3715302622379888
75% Corpus,9,symmetric,0.61,0.34770701537975385
75% Corpus,9,symmetric,0.9099999999999999,0.3342072053689208
75% Corpus,9,symmetric,symmetric,0.38757289650898924
75% Corpus,9,asymmetric,0.01,0.3717116138207007
75% Corpus,9,asymmetric,0.31,0.38555859333753495
75% Corpus,9,asymmetric,0.61,0.38175816664745593
75% Corpus,9,asymmetric,0.9099999999999999,0.40303009824844144
75% Corpus,9,asymmetric,symmetric,0.3961930742306756
75% Corpus,10,0.01,0.01,0.35458737650005256
75% Corpus,10,0.01,0.31,0.35048922672857125
75% Corpus,10,0.01,0.61,0.35451570827887213
75% Corpus,10,0.01,0.9099999999999999,0.33765349674379586
75% Corpus,10,0.01,symmetric,0.36126116923299156
75% Corpus,10,0.31,0.01,0.3733791832625851
75% Corpus,10,0.31,0.31,0.348731637760357
75% Corpus,10,0.31,0.61,0.35168081957330266
75% Corpus,10,0.31,0.9099999999999999,0.3320474090022397
75% Corpus,10,0.31,symmetric,0.36985851639057626
75% Corpus,10,0.61,0.01,0.38381942123674323
75% Corpus,10,0.61,0.31,0.35183495266033354
75% Corpus,10,0.61,0.61,0.39346856211486686
75% Corpus,10,0.61,0.9099999999999999,0.5294488639691048
75% Corpus,10,0.61,symmetric,0.36496535198638874
75% Corpus,10,0.9099999999999999,0.01,0.4739933383809577
75% Corpus,10,0.9099999999999999,0.31,0.3399917635822382
75% Corpus,10,0.9099999999999999,0.61,0.4351413440067116
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.43091660269589127
75% Corpus,10,0.9099999999999999,symmetric,0.40585488390483737
75% Corpus,10,symmetric,0.01,0.34707384074080333
75% Corpus,10,symmetric,0.31,0.33814962171353397
75% Corpus,10,symmetric,0.61,0.35118147308751185
75% Corpus,10,symmetric,0.9099999999999999,0.3498727888964328
75% Corpus,10,symmetric,symmetric,0.3358778826770745
75% Corpus,10,asymmetric,0.01,0.4033616739155505
75% Corpus,10,asymmetric,0.31,0.45395745792692627
75% Corpus,10,asymmetric,0.61,0.44318964662036386
75% Corpus,10,asymmetric,0.9099999999999999,0.45963907317602004
75% Corpus,10,asymmetric,symmetric,0.3949809639203168
100% Corpus,2,0.01,0.01,0.4660878806180604
100% Corpus,2,0.01,0.31,0.46178640305328456
100% Corpus,2,0.01,0.61,0.4354080416793177
100% Corpus,2,0.01,0.9099999999999999,0.3978611143121359
100% Corpus,2,0.01,symmetric,0.4692420313437577
100% Corpus,2,0.31,0.01,0.4761667194839524
100% Corpus,2,0.31,0.31,0.5116271310787273
100% Corpus,2,0.31,0.61,0.45251263002684894
100% Corpus,2,0.31,0.9099999999999999,0.4500036168012723
100% Corpus,2,0.31,symmetric,0.4814057344077787
