Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.61,0.3447470331304178
100% Corpus,9,0.31,0.9099999999999999,0.2966493988797916
100% Corpus,9,0.31,symmetric,0.3713206868220472
100% Corpus,9,0.61,0.01,0.38905370779484555
100% Corpus,9,0.61,0.31,0.3426280923523689
100% Corpus,9,0.61,0.61,0.36095323046226224
100% Corpus,9,0.61,0.9099999999999999,0.39962679298489673
100% Corpus,9,0.61,symmetric,0.3695660822029518
100% Corpus,9,0.9099999999999999,0.01,0.4583151109495733
100% Corpus,9,0.9099999999999999,0.31,0.33691053253729286
100% Corpus,9,0.9099999999999999,0.61,0.46951659714232247
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.42984866648297154
100% Corpus,9,0.9099999999999999,symmetric,0.4102648621909068
100% Corpus,9,symmetric,0.01,0.3803238705885328
100% Corpus,9,symmetric,0.31,0.3722473295008555
100% Corpus,9,symmetric,0.61,0.3468364909785469
100% Corpus,9,symmetric,0.9099999999999999,0.3351161710547875
100% Corpus,9,symmetric,symmetric,0.38757289650898924
100% Corpus,9,asymmetric,0.01,0.3717116138207007
100% Corpus,9,asymmetric,0.31,0.38555859333753495
100% Corpus,9,asymmetric,0.61,0.38175816664745593
100% Corpus,9,asymmetric,0.9099999999999999,0.40391943459282476
100% Corpus,9,asymmetric,symmetric,0.3961930742306756
100% Corpus,10,0.01,0.01,0.35458737650005256
100% Corpus,10,0.01,0.31,0.3640419179670693
100% Corpus,10,0.01,0.61,0.36286308529220174
100% Corpus,10,0.01,0.9099999999999999,0.3221140294667323
100% Corpus,10,0.01,symmetric,0.36126116923299156
100% Corpus,10,0.31,0.01,0.37268761714810905
100% Corpus,10,0.31,0.31,0.348731637760357
100% Corpus,10,0.31,0.61,0.35168081957330266
100% Corpus,10,0.31,0.9099999999999999,0.3293589022467976
100% Corpus,10,0.31,symmetric,0.36985851639057626
100% Corpus,10,0.61,0.01,0.38381942123674323
100% Corpus,10,0.61,0.31,0.35183495266033354
100% Corpus,10,0.61,0.61,0.39346856211486686
100% Corpus,10,0.61,0.9099999999999999,0.5294488639691048
100% Corpus,10,0.61,symmetric,0.36496535198638874
100% Corpus,10,0.9099999999999999,0.01,0.47306353912334753
100% Corpus,10,0.9099999999999999,0.31,0.3399917635822382
100% Corpus,10,0.9099999999999999,0.61,0.4351413440067116
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.43091660269589127
100% Corpus,10,0.9099999999999999,symmetric,0.40585488390483737
100% Corpus,10,symmetric,0.01,0.34657372195414715
100% Corpus,10,symmetric,0.31,0.33976289434980667
100% Corpus,10,symmetric,0.61,0.35118147308751185
100% Corpus,10,symmetric,0.9099999999999999,0.35168635462571823
100% Corpus,10,symmetric,symmetric,0.3358778826770745
100% Corpus,10,asymmetric,0.01,0.4008350415261776
100% Corpus,10,asymmetric,0.31,0.45395745792692627
100% Corpus,10,asymmetric,0.61,0.44318964662036386
100% Corpus,10,asymmetric,0.9099999999999999,0.45214862744652945
100% Corpus,10,asymmetric,symmetric,0.3949809639203168
